id,xspanish,complete_status,ppage,ppeduc,ppeducat,ppgender,ppethm,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,ppreg4,pprent,ppstaten,ppwork,Q1,Q2,Q3a,Q3b,Q4,QPID,POLIT200,ABCAGE,weights_pid
30001,English,qualified,28,Professional or Doctorate degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",18-29,1.7584
30002,English,qualified,61,Master's degree,Bachelors degree or higher,Male,"Black, Non-Hispanic",1,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of summer,No,An Independent,"Yes, registered to vote at my current address",50-64,1.3835
30003,English,qualified,84,7th or 8th grade,Less than high school,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$25,000 to $29,999",Married,Non-metro area,NorthEast,Owned or being bought by you or someone in your household,New Hampshire,Not working - retired,Approve,Somewhat concerned,Yes,By July 1,No,An Independent,"Yes, registered to vote at my current address",65+,1.1493
30004,English,qualified,58,"Some college, no degree",Some college,Male,"Other, Non-Hispanic",2,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,Metro area,West,Rented for cash,California,Working - as a paid employee,Disapprove,Somewhat concerned,No, ,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.4965
30005,English,qualified,50,Associate degree,Some college,Male,"Other, Non-Hispanic",6 or more,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - as a paid employee,Approve,Very concerned,Yes,By the end of the year,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.6878
30006,English,qualified,80,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Colorado,Not working - retired,Disapprove,Very concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",65+,.4945
30007,English,qualified,32,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",30-49,.5981
30008,English,qualified,67,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Alabama,Not working - retired,Approve,Somewhat concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",65+,.4094
30009,English,qualified,54,Associate degree,Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$20,000 to $24,999",Divorced,Metro area,MidWest,Owned or being bought by you or someone in your household,Nebraska,Working - as a paid employee,Approve,Very concerned,Yes,By the end of the year,Yes,A Republican,"Yes, registered to vote at my current address",50-64,1.0416
30010,English,qualified,53,Professional or Doctorate degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro area,South,Rented for cash,Georgia,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of summer,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.5619
