"","name","circuit.1","child","girls","sons","woman","age","yearb","race","religion","republican","songerID","progressive.vote"
"1","Alarcon, Arthur L.",9,3,1,2,0,54,1925,3,4,0,901,0
"2","Aldisert, Ruggero",3,3,1,2,0,49,1919,1,4,0,302,0.666666666666667
"3","Aldrich, Bailey",1,2,0,2,0,52,1907,1,1,1,101,0.333333333333333
"4","Alito, Samuel A., Jr.",3,2,1,1,0,40,1950,1,4,1,340,0.5
"5","Altimari, Frank X.",2,4,1,3,0,57,1928,1,4,1,201,0.5
"6","Ambro, Thomas",3,NA,NA,NA,0,NA,NA,NA,NA,0,351,0
"7","Anderson, R. Lanier, III",5,3,NA,NA,0,43,1936,1,2,0,502,0.25
"8","Anderson, Stephen H.",10,1,1,0,0,53,1932,1,NA,1,1001,0.153846153846154
"9","Arnold, Morris S.",8,0,0,0,0,51,1941,1,2,1,841,0.515151515151515
"10","Arnold, Richard S.",8,2,2,0,0,44,1936,1,2,0,801,0.444444444444444
"11","Baldock, Bobby R.",10,2,0,2,0,49,1936,1,3,1,1002,0.2
"12","Barkett, Rosemary",11,0,0,0,1,NA,1939,1,4,0,1123,0.6
"13","Barksdale, Rhesa H.",5,0,0,0,0,46,1944,1,2,1,564,0.428571428571429
"14","Barrett, James E.",10,3,1,2,0,49,1922,1,4,1,1003,0.333333333333333
"15","Barry, Maryanne",3,1,0,1,1,NA,1928,1,5,0,346,0
"16","Batchelder, Alice M.",6,2,1,1,1,47,1944,1,2,1,647,0.176470588235294
"17","Bauer, William J.",7,2,2,0,0,49,1926,1,4,1,703,0.4
"18","Beam, Clarence A.",8,5,0,5,0,57,1930,1,7,1,802,0.378378378378378
"19","Becker, Edward R.",3,3,1,2,0,49,1933,1,5,1,303,0.444444444444444
"20","Beezer, Robert R.",9,3,1,2,0,56,1928,1,4,1,904,0
"21","Benavides, Fortunato Pedro",5,2,2,0,0,NA,1947,3,2,0,566,0.416666666666667
"22","Berzon, Marsha",9,2,1,1,1,NA,NA,NA,NA,0,984,0.333333333333333
"23","Birch, Stanley F., Jr.",11,1,1,0,0,45,1945,1,2,1,1119,0.545454545454545
"24","Black, Susan H.",11,0,0,0,1,49,1943,1,2,1,1121,0.111111111111111
"25","Boggs, Danny J.",6,3,2,1,0,42,1944,1,5,1,603,0.214285714285714
"26","Boudin, Michael",1,3,1,2,0,53,1939,1,5,1,120,0.466666666666667
"27","Bowman, Pasco M.",8,3,2,1,0,50,1933,1,3,1,805,0.227272727272727
"28","Bownes, Hugh",1,3,1,2,0,57,1920,1,8,0,104,0.571428571428571
"29","Bright, Myron",8,2,1,1,0,49,1919,1,5,0,806,0.5
"30","Briscoe, Mary",10,0,0,0,1,48,1947,1,99,0,1031,0.242424242424242
"31","Brorby, Wade",10,2,0,2,0,54,1934,1,7,1,1006,0.290322580645161
"32","Brown, Bailey",6,1,0,1,0,62,1917,1,2,0,605,0
"33","Brunetti, Melvin T.",9,2,1,1,0,52,1933,1,NA,1,908,0.6
"34","Buckley, James L.",12,6,1,5,0,62,1923,1,4,1,1207,0
"35","Bye, Kermit",8,3,2,1,0,NA,NA,NA,NA,0,843,0.416666666666667
"36","Cabranes, Jose Alberto",2,4,2,2,0,NA,1940,3,4,0,246,1
"37","Calabresi, Guido",2,3,2,1,0,NA,1932,1,4,0,245,0.555555555555556
"38","Campbell, Levin H.",1,3,2,1,0,45,1927,1,8,1,106,0.666666666666667
"39","Canby, William C.",9,3,1,2,0,49,1931,1,NA,0,909,0.714285714285714
"40","Cardamone, Richard J.",2,0,0,0,0,56,1925,1,4,1,203,0.714285714285714
"41","Carnes, Edward E.",11,1,NA,NA,0,42,1950,1,7,1,1122,0.777777777777778
"42","Clark, Thomas A.",5,3,1,2,0,59,1920,1,10,0,510,0
"43","Clay, Eric",6,0,0,0,0,44,1951,2,99,0,650,0.428571428571429
"44","Coffey, John L.",7,2,1,1,0,60,1922,1,4,1,705,0.28125
"45","Coffin, Frank",1,4,3,1,0,46,1919,1,3,0,107,0.6
"46","Cole, Ransey",6,3,1,2,0,NA,NA,NA,NA,0,651,0.5
"47","Contie, Leroy J.",6,2,1,1,0,56,1926,1,4,1,609,0.333333333333333
"48","Cowen, Robert E.",3,2,2,0,0,57,1930,1,5,1,308,0.5
"49","Cox, Emmett R.",11,2,1,1,0,53,1935,1,2,1,1103,0.285714285714286
"50","Cudahy, Richard D.",7,7,4,3,0,53,1926,1,4,0,706,0.476190476190476
"51","Cummings, Walter",7,3,0,3,0,50,1916,1,4,0,707,0.363636363636364
"52","Cyr, Conrad F.",1,2,0,2,0,58,1931,1,4,1,118,0.7
"53","Daughtrey, Martha Craig",6,1,1,0,1,NA,1942,1,2,0,648,0.375
"54","Davis, W. Eugene",5,NA,NA,NA,0,47,1936,1,NA,1,513,0.333333333333333
"55","DeMoss, Harold R., Jr.",5,2,1,1,0,61,1930,1,2,1,563,0.5
"56","Dennis, James",5,2,0,2,0,52,1924,1,3,1,570,0.285714285714286
"57","Dubina, Joel F.",11,3,1,2,0,43,1947,1,7,1,1120,0.8
