MunicipCode,pan.vote.09,marginality.06,PAN.governor.06,PAN.visits.06,competitive.district
1001,0.283,-1.831,0,5,1
1002,0.352,-0.62,0,0,1
1003,0.359,-0.875,0,0,1
1004,0.238,-0.747,0,0,1
1005,0.378,-1.234,0,0,1
1006,0.145,-1.306,0,0,1
1007,0.263,-1.136,0,0,1
1008,0.314,-0.81,0,0,1
1009,0.306,-0.722,0,0,1
1010,0.308,-0.641,0,0,1
1011,0.317,-1.153,0,0,1
2001,0.357,-1.609,1,1,1
2002,0.405,-1.898,1,1,0
2003,0.383,-1.626,1,0,1
2004,0.374,-1.926,1,3,1
2005,0.323,-1.546,1,0,1
3001,0.227,-1.245,1,0,1
3002,0.126,-1.2,1,0,1
3003,0.166,-1.775,1,0,1
3008,0.126,-1.515,1,0,1
3009,0.185,-1.337,1,0,1
4001,0.378,-0.248,0,0,1
4002,0.383,-1.305,0,0,1
4003,0.402,-1.063,0,1,0
4004,0.446,-0.231,0,0,0
4005,0.458,-0.273,0,0,0
4006,0.466,0.28,0,0,0
4007,0.2,0.121,0,0,1
4008,0.44,-0.047,0,0,0
4009,0.392,-0.241,0,0,1
4011,0.465,0.62,0,0,0
5001,0.231,-1.041,0,0,1
5002,0.159,-1.611,0,0,1
5003,0.199,-1.712,0,0,1
5004,0.095,-0.669,0,0,1
5005,0.187,-0.538,0,0,1
5006,0.183,-1.466,0,0,1
5007,0.19,-0.931,0,0,1
5008,0.197,-0.693,0,0,1
5009,0.131,-1.083,0,0,1
5010,0.209,-1.612,0,0,1
5011,0.223,-0.377,0,0,1
5012,0.239,-0.694,0,0,1
5013,0.083,-0.746,0,0,1
5014,0.161,-0.691,0,0,1
5015,0.186,-0.733,0,0,1
5016,0.405,-1.054,0,0,0
5017,0.194,-1.076,0,0,1
5018,0.258,-1.882,0,0,1
5019,0.198,-1.567,0,0,1
5020,0.244,-1.43,0,0,1
5021,0.113,-1.001,0,0,1
5022,0.274,-1.5,0,0,1
5023,0.12,-0.659,0,0,1
5024,0.291,-1.115,0,0,1
5025,0.233,-1.859,0,0,1
5026,0.14,-0.698,0,0,1
5027,0.195,-1.67,0,0,1
5028,0.211,-1.694,0,0,1
5029,0.162,-1.081,0,0,1
5030,0.163,-1.921,0,1,1
5031,0.142,-1.682,0,0,1
5032,0.192,-1.7,0,0,1
5033,0.132,-0.935,0,0,1
5034,0.289,-1.061,0,0,1
5035,0.259,-1.893,0,1,1
5036,0.135,-0.537,0,0,1
5037,0.293,-1.313,0,0,1
5038,0.325,-1.319,0,0,1
6001,0.527,-0.688,0,0,0
6002,0.407,-1.724,0,2,0
6003,0.432,-0.803,0,0,0
6004,0.466,-0.838,0,0,0
6005,0.315,-1.245,0,0,1
6006,0.365,-0.338,0,0,1
6007,0.399,-1.513,0,1,1
6008,0.312,-0.641,0,0,1
6009,0.481,-0.804,0,1,0
6010,0.412,-1.875,0,0,0
7001,0.381,0.491,0,0,1
7002,0.464,0.364,0,0,0
7003,0.531,0.68,0,0,0
7004,0.313,0.992,0,0,1
7005,0.561,1.754,0,0,0
7006,0.188,0.731,0,0,1
7007,0.012,2.012,0,0,1
7008,0.18,0.876,0,0,1
7009,0.605,-0.292,0,0,0
7010,0.286,1.288,0,0,1
7011,0.106,0.77,0,0,1
7012,0.487,0.177,0,0,0
7013,0.35,0.478,0,0,1
7014,0.278,1.074,0,0,1
7015,0.465,0.098,0,0,0
7016,0.131,0.502,0,0,1
7017,0.083,0.155,0,0,1
7018,0.49,0.921,0,0,0
7019,0.14,-0.416,0,0,1
7020,0.033,1.091,0,1,1
7021,0.565,0.451,0,0,0
7022,0.051,2.354,0,0,1
7023,0.052,1.882,0,0,1
7024,0.07,1.696,0,0,1
7025,0.401,0.824,0,0,0
7026,0.106,1.79,0,0,1
7027,0.429,-0.007,0,1,0
7028,0.597,0.79,0,0,0
7029,0.545,0.061,0,0,0
7030,0.078,1.051,0,0,1
7031,0.03,2.153,0,0,1
7032,0.324,0.602,0,0,1
7033,0.292,1.598,0,0,1
7034,0.151,0.137,0,0,1
7035,0.49,0.516,0,0,0
7036,0.296,0.924,0,0,1
7037,0.356,0.584,0,0,1
7038,0.259,1.578,0,0,1
7040,0.547,-0.151,0,0,0
7041,0.082,0.645,0,0,1
7042,0.18,0.873,0,0,1
7044,0.461,0.501,0,0,0
7046,0.05,0.266,0,0,1
7047,0.154,0.954,0,0,1
7049,0.177,1.664,0,0,1
7050,0.234,0.497,0,0,1
7051,0.5,0.233,0,0,0
7052,0.121,1.134,0,0,1
7053,0.286,0.697,0,0,1
7054,0.303,0.634,0,0,1
7055,0.589,0.13,0,0,0
7056,0.338,2.048,0,0,1
7057,0.341,0.583,0,0,1
7058,0.076,1.296,0,0,1
7059,0.382,1.457,0,0,1
7060,0.117,1.619,0,0,1
7062,0.705,1.136,0,0,0
7063,0.465,0.062,0,0,0
7064,0.038,1.788,0,0,1
7065,0.078,0.604,0,0,1
7066,0.045,2.262,0,0,1
7067,0.119,1.373,0,0,1
7068,0.528,0.257,0,0,0
7069,0.532,0.495,0,0,0
7070,0.258,1.185,0,0,1
7071,0.374,0.772,0,0,1
7072,0.384,1.185,0,0,1
7073,0.407,0.722,0,0,0
7074,0.484,-0.776,0,0,0
7075,0.31,1.081,0,0,1
7076,0.046,1.52,0,0,1
7077,0.038,1.693,0,0,1
7078,0.163,-0.62,0,1,1
7079,0.498,0.287,0,0,0
7080,0.231,1.298,0,0,1
7081,0.192,1.353,0,0,1
7082,0.03,3.355,0,0,1
7083,0.122,1.02,0,0,1
7084,0.588,0.915,0,0,0
7085,0.334,0.554,0,0,1
7086,0.572,-0.01,0,0,0
7087,0.329,0.461,0,0,1
7088,0.56,1.054,0,0,0
7089,0.382,-0.437,0,0,1
7090,0.22,0.748,0,0,1
7091,0.418,0.28,0,0,0
7092,0.631,0.815,0,0,0
7093,0.157,1.38,0,0,1
7094,0.154,1.105,0,0,1
7096,0.666,1.423,0,0,0
7097,0.527,-0.075,0,0,0
7098,0.176,1.251,0,0,1
7099,0.185,0.505,0,0,1
7100,0.031,1.824,0,0,1
7101,0.363,-1.26,0,3,1
7102,0.389,0.427,0,0,1
7103,0.514,0.711,0,0,0
7104,0.103,0.641,0,0,1
7105,0.425,0.311,0,0,0
7106,0.403,0.737,0,0,0
7107,0.077,0.677,0,0,1
7108,0.082,0.149,0,0,1
7109,0.031,0.922,0,0,1
7110,0.203,1.257,0,0,1
7111,0.15,1.807,0,0,1
7112,0.122,1.975,0,0,1
8001,0.28,-1.426,0,0,1
8002,0.308,-1.607,0,0,1
8003,0.193,-1.191,0,0,1
8004,0.217,-1.119,0,0,1
8005,0.295,-1.271,0,0,1
8006,0.258,-1.026,0,0,1
8007,0.16,1.635,0,0,1
8008,0.349,3.029,0,0,1
8009,0.194,0.316,0,0,1
8010,0.301,-1.3,0,0,1
8011,0.452,-1.636,0,1,0
8012,0.139,1.954,0,0,1
8013,0.204,-0.883,0,0,1
8014,0.312,-0.917,0,0,1
8015,0.467,-0.921,0,0,0
8016,0.447,-1.201,0,0,0
8017,0.26,-1.758,0,0,1
8018,0.273,-0.928,0,0,1
8019,0.307,-2.126,0,1,1
8020,0.341,0.998,0,0,1
8021,0.372,-1.829,0,0,1
8022,0.356,-0.932,0,0,1
8023,0.115,-1.153,0,0,1
8024,0.43,-1.243,0,0,0
8025,0.4,-1.156,0,0,0
8026,0.272,-0.9,0,0,1
8027,0.232,1.923,0,0,1
8028,0.266,-0.977,0,0,1
8029,0.148,1.927,0,0,1
8030,0.291,1.436,0,0,1
8031,0.254,-0.828,0,0,1
8032,0.232,-1.823,0,1,1
8033,0.125,-0.287,0,0,1
8034,0.072,-1.075,0,0,1
8035,0.239,-1.003,0,0,1
8036,0.346,-1.461,0,0,1
8037,0.231,-1.788,0,2,1
8038,0.415,-1.055,0,0,0
8039,0.28,-1.063,0,0,1
8040,0.414,-1.045,0,0,0
8041,0.178,1.501,0,0,1
8042,0.292,-0.709,0,0,1
8043,0.442,-0.958,0,0,0
8044,0.262,-0.984,0,0,1
8045,0.361,-1.559,0,0,1
8046,0.295,2.014,0,0,1
8047,0.209,0.267,0,0,1
8048,0.392,-1.159,0,0,1
8049,0.235,0.643,0,0,1
8050,0.238,-1.767,0,0,1
8051,0.391,0.241,0,0,1
8052,0.315,-1.597,0,0,1
8053,0.285,-0.937,0,0,1
8054,0.287,-1.146,0,0,1
8055,0.352,-1.195,0,0,1
8056,0.104,-0.418,0,0,1
8057,0.437,-0.587,0,0,0
8058,0.319,-1.12,0,0,1
8059,0.292,-1.271,0,0,1
8060,0.306,-1.741,0,0,1
8061,0.407,-0.631,0,0,0
8062,0.428,-1.434,0,0,0
8063,0.382,0.006,0,0,1
8064,0.165,-0.284,0,0,1
8065,0.26,1.934,0,0,1
8066,0.311,1.663,0,0,1
8067,0.248,-0.826,0,0,1
9000,0.203,-1.505,0,35,1
10001,0.256,-0.821,0,0,1
10002,0.361,1.23,0,0,1
10003,0.082,-0.112,0,0,1
10004,0.311,-0.648,0,0,1
10005,0.252,-1.591,0,2,1
10006,0.356,-0.101,0,0,1
10007,0.187,-1.557,0,0,1
10008,0.295,-1.028,0,0,1
10009,0.317,0.501,0,0,1
10010,0.273,-0.514,0,0,1
10011,0.407,-0.473,0,0,0
10012,0.25,-1.279,0,0,1
10013,0.208,-0.638,0,0,1
10014,0.241,2.483,0,0,1
10015,0.27,-0.445,0,0,1
10016,0.273,-0.449,0,0,1
10017,0.238,-0.689,0,0,1
10018,0.323,-0.961,0,0,1
10019,0.259,0.901,0,0,1
10020,0.209,-0.641,0,0,1
10021,0.323,-0.233,0,0,1
10022,0.218,-0.767,0,0,1
10023,0.278,-0.018,0,0,1
10024,0.303,-0.659,0,0,1
10025,0.258,-0.024,0,0,1
10026,0.256,0.255,0,0,1
10027,0.329,0.309,0,0,1
10028,0.232,-0.422,0,0,1
10029,0.332,-0.448,0,0,1
10030,0.315,-0.441,0,0,1
10031,0.386,-0.35,0,0,1
10032,0.326,-0.816,0,0,1
10033,0.224,-0.079,0,0,1
10034,0.083,1.469,0,0,1
10035,0.401,0.095,0,0,0
10036,0.173,-0.889,0,0,1
10037,0.274,1.404,0,0,1
10038,0.3,-1.112,0,0,1
10039,0.26,-0.717,0,0,1
11001,0.446,-0.267,1,0,0
11002,0.323,-0.835,1,0,1
11003,0.355,-0.404,1,1,1
11004,0.229,-0.447,1,0,1
11005,0.415,-0.568,1,0,0
11006,0.382,0.92,1,0,1
11007,0.414,-1.461,1,2,0
11008,0.449,-0.285,1,0,0
11009,0.402,-0.13,1,0,0
11010,0.396,-0.113,1,0,1
11011,0.448,-0.942,1,0,0
11012,0.499,-0.295,1,0,0
11013,0.214,0.178,1,0,1
11014,0.435,-0.221,1,0,0
11015,0.372,-1.272,1,0,1
11016,0.362,-0.363,1,0,1
11017,0.463,-1.252,1,0,0
11018,0.459,-0.807,1,0,0
11019,0.397,0.254,1,0,1
11020,0.448,-1.502,1,4,0
11021,0.232,-1.386,1,2,1
11022,0.418,0.008,1,0,0
11023,0.664,-0.325,1,0,0
11024,0.405,-0.329,1,0,0
11025,0.539,-0.897,1,0,0
11026,0.345,-0.246,1,0,1
11027,0.512,-1.214,1,2,0
11028,0.383,-0.734,1,0,1
11029,0.305,0.324,1,0,1
11030,0.491,0.203,1,0,0
11031,0.543,-1.085,1,0,0
11032,0.373,-0.58,1,0,1
11033,0.37,-0.155,1,0,1
11034,0.355,0.784,1,0,1
11035,0.33,-0.332,1,0,1
11036,0.23,-0.391,1,0,1
11037,0.508,-0.665,1,1,0
11038,0.473,-0.671,1,0,0
11039,0.499,-0.39,1,0,0
11040,0.235,0.712,1,0,1
11041,0.304,-1.176,1,0,1
11042,0.323,-0.575,1,1,1
11043,0.509,0.586,1,0,0
11044,0.312,-0.936,1,0,1
11045,0.39,0.987,1,0,1
11046,0.306,-0.444,1,1,1
12001,0.111,-0.864,0,3,1
12002,0.063,2.123,0,0,1
12003,0.136,1.419,0,0,1
12004,0.006,2.427,0,0,1
12005,0.009,0.211,0,0,1
12006,0.155,0.293,0,0,1
12007,0.049,0.08,0,0,1
12008,0.183,1.01,0,0,1
12009,0.061,2.009,0,0,1
12010,0.293,2.596,0,0,1
12011,0.024,0.278,0,0,1
12012,0.077,1.539,0,0,1
12013,0.216,1.091,0,0,1
12014,0.031,-0.282,0,0,1
12015,0.162,-0.548,0,0,1
12016,0.044,2.405,0,0,1
12017,0.065,0.272,0,0,1
12018,0.092,0.408,0,0,1
12019,0.076,2.158,0,0,1
12020,0.03,2.503,0,0,1
12021,0.093,0.445,0,0,1
12022,0.183,1.035,0,0,1
12023,0.23,0.642,0,0,1
12024,0.038,1.107,0,0,1
12025,0.055,1.269,0,0,1
12026,0.035,1.102,0,0,1
12027,0.161,0.677,0,0,1
12028,0.038,1.532,0,0,1
12029,0.064,-0.914,0,1,1
12030,0.111,0.522,0,0,1
12031,0.094,1.191,0,0,1
12032,0.211,2.035,0,0,1
12033,0.153,0.1,0,0,1
12034,0.081,0.114,0,0,1
12035,0.085,-0.985,0,1,1
12036,0.079,1.345,0,0,1
12037,0.078,0.484,0,0,1
12038,0.047,-0.962,0,0,1
12039,0.361,0.256,0,0,1
12040,0.238,0.732,0,0,1
12041,0.02,2.134,0,0,1
12042,0.052,1.611,0,0,1
12043,0.006,3.089,0,0,1
12044,0.034,0.603,0,0,1
12045,0.044,1.67,0,0,1
12047,0.053,2.336,0,0,1
12048,0.076,-0.009,0,0,1
12049,0.049,0.168,0,0,1
12050,0.214,-0.665,0,0,1
12051,0.195,1.529,0,0,1
12052,0.038,1.972,0,0,1
12053,0.111,1.066,0,0,1
12054,0.211,2.185,0,0,1
12055,0.161,-0.46,0,0,1
12056,0.272,1.013,0,0,1
12057,0.091,0.058,0,0,1
12058,0.026,0.415,0,0,1
12059,0.029,0.494,0,0,1
12060,0.152,0.826,0,0,1
12061,0.12,-0.004,0,0,1
12062,0.06,2.68,0,0,1
12063,0.064,2.428,0,0,1
12064,0.007,0.63,0,0,1
12065,0.347,0.9,0,0,1
12066,0.011,0.514,0,0,1
12067,0.038,0.222,0,0,1
12068,0.012,0.554,0,0,1
12069,0.029,2.403,0,0,1
12070,0.145,0.749,0,0,1
12071,0.221,2.456,0,0,1
12072,0.027,2.318,0,0,1
12073,0.217,1.503,0,0,1
12074,0.095,1.867,0,0,1
12075,0.059,0.231,0,0,1
12076,0.033,3.109,0,0,1
13001,0.249,0.164,0,0,1
13002,0.187,0.834,0,0,1
13003,0.076,-0.962,0,0,1
13004,0.192,0.572,0,0,1
13005,0.094,-0.687,0,0,1
13006,0.158,0.112,0,0,1
13007,0.312,-0.209,0,0,1
13008,0.274,-0.978,0,0,1
13009,0.091,-0.289,0,0,1
13010,0.179,-1.288,0,0,1
13011,0.04,0.72,0,0,1
13012,0.127,-0.158,0,0,1
13013,0.092,-1.062,0,0,1
13014,0.135,0.522,0,0,1
13015,0.073,0.008,0,0,1
13016,0.196,-0.294,0,0,1
13017,0.046,0.047,0,0,1
13018,0.041,0.635,0,0,1
13019,0.068,-0.297,0,0,1
13020,0.005,0.018,0,0,1
13021,0.155,-1.193,0,0,1
13022,0.262,-0.536,0,0,1
13023,0.04,-0.883,0,0,1
13024,0.186,-0.016,0,0,1
13025,0.025,0.667,0,0,1
13026,0.018,0.845,0,0,1
13027,0.143,1.678,0,0,1
13028,0.097,0.258,0,1,1
13029,0.186,-0.566,0,0,1
13030,0.136,-0.735,0,0,1
13031,0.075,0.141,0,0,1
13032,0.069,0.377,0,0,1
13033,0.006,-0.014,0,0,1
13034,0.066,0.525,0,0,1
13035,0.147,-0.252,0,0,1
13036,0.073,-0.108,0,0,1
13037,0.026,0.375,0,0,1
13038,0.082,0.338,0,0,1
13039,0.14,-1.103,0,0,1
13040,0.041,0.999,0,0,1
13041,0.123,-1.026,0,0,1
13042,0.043,0.152,0,0,1
13043,0.139,0.535,0,0,1
13044,0.138,-0.023,0,0,1
13045,0.234,-0.186,0,0,1
13046,0.167,0.588,0,0,1
13047,0.266,1.062,0,0,1
13048,0.485,-1.79,0,1,0
13049,0.336,0.942,0,0,1
13050,0.16,-1.24,0,0,1
13051,0.231,-1.711,0,0,1
13052,0.114,-0.555,0,0,1
13053,0.065,1.85,0,0,1
13054,0.064,-0.574,0,0,1
13055,0.079,-0.25,0,0,1
13056,0.207,-0.938,0,0,1
13057,0.187,-0.104,0,0,1
13058,0.067,-0.241,0,0,1
13059,0.177,0.07,0,0,1
13060,0.078,0.709,0,0,1
13061,0.13,-1.522,0,0,1
13062,0.151,1.48,0,0,1
13063,0.214,-1.074,0,0,1
13064,0.225,-0.55,0,0,1
13065,0.031,-1.11,0,0,1
13066,0.156,-0.877,0,0,1
13067,0.192,-0.536,0,0,1
13068,0.176,1.177,0,0,1
13069,0.144,-1.351,0,0,1
13070,0.1,-0.907,0,0,1
13071,0.04,0.891,0,0,1
13072,0.101,-1.462,0,0,1
13073,0.193,0.785,0,0,1
13074,0.152,-1.068,0,0,1
13075,0.184,-0.937,0,0,1
13076,0.219,-1.38,0,0,1
13077,0.174,-1.217,0,1,1
13078,0.173,1.475,0,0,1
13079,0.049,0.204,0,0,1
13080,0.121,1.323,0,0,1
13081,0.085,-0.644,0,0,1
13082,0.157,-1.112,0,0,1
13083,0.13,-0.775,0,0,1
13084,0.039,-0.293,0,0,1
14001,0.331,-0.734,1,0,1
14002,0.224,-1.454,1,0,1
14003,0.299,-1.304,1,0,1
14004,0.297,-0.592,1,0,1
14005,0.199,-1.097,1,0,1
14006,0.343,-1.265,1,0,1
14007,0.28,-0.797,1,0,1
14008,0.435,-0.954,1,0,0
14009,0.334,-1.26,1,0,1
14010,0.25,-0.241,1,0,1
