GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
12/19/20,1610612753,1610612766,2020,120,0.433,0.792,0.425,23,50,117,0.444,0.864,0.439,21,52,1
12/19/20,1610612764,1610612765,2020,99,0.427,0.625,0.295,24,45,96,0.402,0.647,0.326,18,51,1
12/19/20,1610612763,1610612737,2020,116,0.4,0.744,0.396,21,43,117,0.422,0.837,0.297,24,47,0
12/18/20,1610612754,1610612755,2020,107,0.371,0.692,0.262,19,45,113,0.533,0.629,0.355,23,48,0
12/18/20,1610612761,1610612748,2020,105,0.38,0.737,0.356,27,37,117,0.534,0.741,0.514,30,51,0
12/18/20,1610612752,1610612739,2020,119,0.513,0.788,0.517,27,41,83,0.395,0.611,0.387,20,35,1
12/18/20,1610612738,1610612751,2020,89,0.348,0.81,0.178,18,48,113,0.432,0.778,0.457,26,53,0
12/18/20,1610612740,1610612749,2020,127,0.512,0.614,0.364,25,51,113,0.422,0.9,0.25,21,44,1
12/18/20,1610612760,1610612741,2020,103,0.411,0.737,0.395,21,51,105,0.424,0.588,0.268,27,56,0
12/18/20,1610612743,1610612757,2020,129,0.474,0.778,0.409,30,53,96,0.371,0.87,0.303,17,42,1
12/18/20,1610612756,1610612747,2020,113,0.477,0.846,0.409,26,46,114,0.506,0.593,0.533,25,33,0
12/17/20,1610612753,1610612766,2020,115,0.474,0.917,0.324,26,53,123,0.475,0.9,0.439,32,43,0
12/17/20,1610612764,1610612765,2020,86,0.397,0.682,0.265,18,42,97,0.494,0.583,0.4,20,42,0
12/17/20,1610612745,1610612759,2020,128,0.527,0.929,0.395,26,42,106,0.409,0.844,0.212,17,41,1
12/17/20,1610612763,1610612737,2020,128,0.474,0.773,0.38,33,58,106,0.381,0.864,0.289,25,46,1
12/17/20,1610612742,1610612750,2020,127,0.424,0.92,0.455,28,45,129,0.469,0.793,0.389,27,55,0
12/17/20,1610612758,1610612744,2020,105,0.372,0.757,0.233,22,51,113,0.424,0.833,0.465,20,54,0
12/17/20,1610612746,1610612762,2020,105,0.461,0.87,0.5,23,37,125,0.495,0.733,0.462,38,40,0
12/16/20,1610612752,1610612739,2020,100,0.458,0.762,0.235,28,38,93,0.402,0.778,0.5,23,44,1
12/16/20,1610612760,1610612741,2020,103,0.381,0.68,0.324,22,46,124,0.542,0.643,0.333,26,61,0
12/16/20,1610612743,1610612757,2020,126,0.523,0.739,0.413,39,55,95,0.378,0.75,0.265,20,33,1
