date,time,year,month,doy,dow,death,cvd,resp,temp,dptp,rhum,pm10,o3
1/1/87,1,1987,1,1,Thursday,130,65,13,-0.277777778,31.5,95.5,26.95607373,4.376079071
1/2/87,2,1987,1,2,Friday,150,73,14,0.555555556,29.875,88.25,NA,4.929803271
1/3/87,3,1987,1,3,Saturday,101,43,11,0.555555556,27.375,89.5,32.83869495,3.751079071
1/4/87,4,1987,1,4,Sunday,135,72,7,-1.666666667,28.625,84.5,39.95607373,4.292745731
1/5/87,5,1987,1,5,Monday,126,64,12,0,28.875,74.5,NA,4.751079071
1/6/87,6,1987,1,6,Tuesday,130,63,12,4.444444444,35.125,77.375,40.95607373,6.334412401
1/7/87,7,1987,1,7,Wednesday,129,72,12,1.388888889,26.75,74.5,33.95607373,8.594018961
1/8/87,8,1987,1,8,Thursday,109,51,13,-1.666666667,22,77.875,28.95607373,11.79788968
1/9/87,9,1987,1,9,Friday,125,62,7,-3.055555556,29,95.125,32.3487708,3.876079071
1/10/87,10,1987,1,10,Saturday,153,90,11,0.277777778,27.75,81.875,NA,5.388136611
1/11/87,11,1987,1,11,Sunday,124,69,5,-1.388888889,20.125,77.25,14.95607374,18.25622301
1/12/87,12,1987,1,12,Monday,111,57,11,1.388888889,26,79,18.95607374,8.339556351
1/13/87,13,1987,1,13,Tuesday,104,50,9,1.111111111,32.25,74.625,45.95607373,6.922889681
1/14/87,14,1987,1,14,Wednesday,118,54,6,3.055555556,36.375,94.25,35.95607373,5.339556351
1/15/87,15,1987,1,15,Thursday,109,54,10,0.277777778,24.25,75.375,26.93720102,5.256223011
1/16/87,16,1987,1,16,Friday,125,60,11,-3.888888889,21.5,80.75,11.95607374,8.964556351
1/17/87,17,1987,1,17,Saturday,128,58,16,-2.777777778,24.75,89.125,NA,6.589556351
1/18/87,18,1987,1,18,Sunday,141,86,8,-8.055555556,11.125,87.25,31.95607373,6.964556351
1/19/87,19,1987,1,19,Monday,130,74,12,-5,15.75,70.375,24.95607373,16.3344124
1/20/87,20,1987,1,20,Tuesday,133,71,9,-6.388888889,11.5,72.125,30.95607373,5.554803271
1/21/87,21,1987,1,21,Wednesday,115,52,10,-5.555555556,20.625,72.75,31.98796517,6.975093131
1/22/87,22,1987,1,22,Thursday,121,60,10,-6.944444444,7.375,67.75,44.95607373,11.33955635
