interview_date,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,items_owned,no_meals,months_lack_food
11/17/16,3,4,muddaub,1,NULL,NULL,1,bicycle;television;solar_panel;table,2,Jan
11/17/16,7,9, muddaub,1,yes,once,3,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Sept;Oct;Nov;Dec
11/17/16,10,15, burntbricks,1,NULL,NULL,1,solar_torch,2,Jan;Feb;Mar;Oct;Nov;Dec
11/17/16,7,6, burntbricks,1,NULL,NULL,2,bicycle;radio;cow_plough;solar_panel;mobile_phone,2,Sept;Oct;Nov;Dec
11/17/16,7,40,burntbricks,1,NULL,NULL,4,motorcyle;radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov
11/17/16,3,3,muddaub,1,NULL,NULL,1,NULL,2,Aug;Sept;Oct
11/17/16,6,38,muddaub,1,no,never,1,motorcyle;cow_plough,3,Nov
11/16/16,12,70,burntbricks,3,yes,never,2,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;fridge,2,Jan
11/16/16,8,6,burntbricks,1,no,never,3,television;solar_panel;solar_torch,3,Jan;Dec
12/16/16,12,23,burntbricks,5,no,never,2,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table,3,Jan;Oct;Nov;Dec
11/21/16,6,20,sunbricks,1,NULL,NULL,2,radio;cow_plough,2,Oct;Nov
11/21/16,7,20,burntbricks,3,yes,never,2,cow_cart;bicycle;radio;cow_plough;table,3,Sept;Oct
11/21/16,6,8,burntbricks,1,no,never,3,bicycle;radio;cow_plough;mobile_phone,2,Sept;Oct;Nov
11/21/16,10,20,burntbricks,3,NULL,NULL,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,June;July;Aug;Sept;Oct;Nov
11/21/16,5,30,sunbricks,2,yes,once,3,bicycle;radio;cow_plough;solar_panel;table,2,Jan;Feb;Mar;Apr;May;June;July;Aug;Sept;Oct;Nov
11/24/16,6,47,muddaub,1,NULL,NULL,4,radio;cow_plough;solar_panel;solar_torch,3,Jan;Feb
11/21/16,8,20,sunbricks,1,NULL,NULL,1,mobile_phone,2,Nov;Dec
11/21/16,4,20,muddaub,1,NULL,NULL,3,bicycle;mobile_phone,2,Oct;Nov
11/21/16,9,23,burntbricks,2,NULL,NULL,2,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Oct;Nov;Dec
11/21/16,6,1,burntbricks,1,NULL,NULL,1,bicycle;cow_plough;solar_torch,2,Oct;Nov
11/21/16,8,20,burntbricks,1,no,never,3,NULL,2,Jan;Feb;Mar;Oct;Nov;Dec
11/21/16,4,20,muddaub,1,NULL,NULL,1,radio,2,Jan;Feb;Mar;Apr;Aug;Sept;Oct;Nov;Dec
11/21/16,10,20,burntbricks,4,NULL,NULL,3,cow_cart;bicycle;television;radio;cow_plough;solar_panel;electricity;mobile_phone,3,none
11/21/16,6,4,burntbricks,2,no,never,3,radio;table;sofa_set;mobile_phone,2,Nov;Dec
11/21/16,11,6,burntbricks,3,no,never,2,cow_cart;motorcyle;television;radio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone,2,Jan;Feb;Oct
11/21/16,3,20,burntbricks,2,no,never,2,radio;cow_plough;table;mobile_phone,2,none
11/21/16,7,36,burntbricks,2,NULL,NULL,3,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none
11/21/16,2,2,muddaub,1,no,more_once,1,NULL,3,Aug;Sept;Oct
11/21/16,7,10,burntbricks,2,yes,frequently,1,motorcyle;bicycle;radio;table;mobile_phone,3,Jan;Feb
11/21/16,7,22,muddaub,2,NULL,NULL,1,bicycle;radio;mobile_phone,2,Jan;Feb
11/21/16,3,2,muddaub,1,NULL,NULL,1,NULL,3,none
11/21/16,19,69,muddaub,2,yes,more_once,5,cow_cart;motorcyle;radio;cow_plough;solar_panel;mobile_phone,2,none
11/21/16,8,34,muddaub,1,no,more_once,2,cow_cart;lorry;motorcyle;sterio;cow_plough;solar_panel;mobile_phone,2,none
11/17/16,8,18,burntbricks,3,yes,more_once,3,television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Dec
11/17/16,5,45,muddaub,1,yes,more_once,2,bicycle;cow_plough,3,Jan;Sept;Oct;Nov;Dec
11/17/16,6,23,sunbricks,1,yes,once,3,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,3,none
