age,age_factor,race,educ,income,ideology_factor,gender_factor,SelectTrump,condition,openResponse,codeCorrect
38,"(17.9,42]",Non-Hispanic White,MA Degree,5,Democrat,Male,0,Disunited,is very good,Incorrect
35,"(17.9,42]",Non-Hispanic White,HS,1,Republican,Female,0,Control,it was his biographical.,Correct
18,"(17.9,42]",Non-Hispanic White,Less than HS,1,Independent,Female,0,Disunited,i don't knoe,Incorrect
44,"(42,66]",Non-Hispanic White,Some College,2,Democrat,Male,1,United,trump and his republican supporters,Incorrect
34,"(17.9,42]",Non-Hispanic Black,Some College,2,Republican,Female,0,United,trump being president,Incorrect
48,"(42,66]",Non-Hispanic Black,HS,2,Democrat,Female,0,Disunited,about sports,Incorrect
46,"(42,66]",Non-Hispanic White,HS,1,Republican,Female,0,Disunited,i have no idea.,Incorrect
68,"(66,90.1]",Non-Hispanic White,BA Degree,1,Democrat,Male,0,United,it was about his conservative supporters.,Incorrect
64,"(42,66]",Other,Some College,2,Republican,Male,0,Control,i picked another one,Incorrect
22,"(17.9,42]",Non-Hispanic White,Some College,2,Republican,Female,0,Disunited,upsetting his supporters,Correct
38,"(17.9,42]",Non-Hispanic White,Some College,1,Independent,Female,0,United,i'm not sure,Incorrect
38,"(17.9,42]",Non-Hispanic White,Some College,2,Democrat,Male,0,Disunited,"i don't know.  once i saw trump, i didn't look at more.",Incorrect
18,"(17.9,42]",Non-Hispanic White,Some College,2,Democrat,Female,0,Control,basic biographical information ,Correct
30,"(17.9,42]",Non-Hispanic White,Some College,2,Democrat,Male,1,Control,it's news we need to know ,Incorrect
25,"(17.9,42]",Non-Hispanic White,HS,2,Democrat,Male,0,Disunited,upsetting his supporters,Correct
26,"(17.9,42]",Non-Hispanic White,BA Degree,3,Independent,Female,0,Disunited,nothing,Incorrect
37,"(17.9,42]",Non-Hispanic White,Advanced Degree,4,Democrat,Male,1,United,i like the president,Incorrect
43,"(42,66]",Non-Hispanic Black,Some College,2,Democrat,Female,0,Control,i do not pay attention to any demographic or other information on trump,Incorrect
25,"(17.9,42]",Non-Hispanic Black,BA Degree,4,Democrat,Female,0,Disunited,upsetting his conservative supporters.,Correct
59,"(42,66]",Non-Hispanic White,BA Degree,5,Republican,Male,1,United,to see what he tells them next,Incorrect
37,"(17.9,42]",Non-Hispanic White,Some College,1,Independent,Male,0,Disunited,i don't know,Incorrect
55,"(42,66]",Non-Hispanic White,BA Degree,4,Republican,Female,0,Control,bio facts is all i remember,Correct
47,"(42,66]",Non-Hispanic White,HS,1,Democrat,Female,0,Control,dont remember,Incorrect
49,"(42,66]",Non-Hispanic White,HS,1,Independent,Male,1,Control,recent news,Incorrect
64,"(42,66]",Non-Hispanic White,Some College,2,Democrat,Female,0,Disunited,a story upsetting his conservative supporters,Correct
30,"(17.9,42]",Non-Hispanic Black,BA Degree,2,Democrat,Female,0,United,i donâ€™t know and i donâ€™t care to know. canâ€™t stand him ,Incorrect
57,"(42,66]",Non-Hispanic White,Some College,1,Democrat,Male,0,United,don't remember.,Incorrect
31,"(17.9,42]",Non-Hispanic White,BA Degree,2,Republican,Female,1,Control,his basic biographical information.  ,Correct
20,"(17.9,42]",Non-Hispanic Black,HS,1,Democrat,Female,0,United,being happy ,Incorrect
32,"(17.9,42]",Non-Hispanic White,Some College,2,Democrat,Male,0,United,trump pleasing supporters,Correct
40,"(17.9,42]",Non-Hispanic Black,MA Degree,6,Democrat,Male,0,Control,he is very good person.,Incorrect
75,"(66,90.1]",Non-Hispanic White,HS,3,Republican,Female,1,United,don't know what the story was didn't read it,Incorrect
42,"(17.9,42]",Non-Hispanic White,MA Degree,6,Democrat,Male,1,Control,"in an apparent reference to trump, kennedy said â€œbullies may land a punchâ€ and leave a mark but have â€œnever managed to match the strength and spirit of a people united in defence of their futureâ€.",Incorrect
