"","year","country","countryNUM","ccodeiso","incDiocese","decDiocese","sumDiocese","state3","polity2","cathpct","cathpop","propenpt","jewpct","nonCathVsChristian","gdp","gdpChange","nonCathVsCath","hogCatholic","hogrel","hogideo","cathPreferredReligion","cathCompositeScore","cathReligiousEducationCompositeScore","cathFinancialCompositeScore","cathRegulatoryBurdenCompositeScore","cathFreeExerciseCompositeScore","incDiocese_lag","decDiocese_lag","sumDiocese_lag","state3_lag","polity2_lag","cathpct_lag","cathpop_lag","propenpt_lag","jewpct_lag","nonCathVsChristian_lag","gdp_lag","gdpChange_lag","nonCathVsCath_lag","hogCatholic_lag","hogrel_lag","hogideo_lag","cathPreferredReligion_lag","cathCompositeScore_lag","cathReligiousEducationCompositeScore_lag","cathFinancialCompositeScore_lag","cathRegulatoryBurdenCompositeScore_lag","cathFreeExerciseCompositeScore_lag","anyDiocese"
"3",1902,"Argentina",1,"ARG",0,0,0,"None",1,98.37857,4964897,0.841615,0.1317686,0,2716.506638,-5.68953102321479,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",1,98.38926,4788126,0.8213684,0.1344905,0,2880.387159,4.53007516247803,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"4",1903,"Argentina",1,"ARG",0,0,0,"None",1,98.36787,5147996,0.8618469,0.1290363,0,2992.315232,10.1530616616885,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",1,98.37857,4964897,0.841615,0.1317686,0,2716.506638,-5.68953102321479,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"5",1904,"Argentina",1,"ARG",0,1,-1,"Decrease",1,98.35719,5337201,0.8820668,0.1263097,0,3191.03975,6.64116253110061,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",1,98.36787,5147996,0.8618469,0.1290363,0,2992.315232,10.1530616616885,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"6",1905,"Argentina",1,"ARG",0,0,0,"None",1,98.34649,5532287,0.9022804,0.1244378,0,3478.616847,9.01201863749894,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,1,-1,"Decrease",1,98.35719,5337201,0.8820668,0.1263097,0,3191.03975,6.64116253110061,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"7",1906,"Argentina",1,"ARG",0,0,0,"None",1,98.33579,5733030,0.9225301,0.34305,0,3518.268346,1.13986393857075,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",1,98.34649,5532287,0.9022804,0.1244378,0,3478.616847,9.01201863749894,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"8",1907,"Argentina",1,"ARG",1,0,1,"Increase",1,98.3251,5939207,0.9427557,0.5463235,0,3459.446651,-1.67189336387247,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",1,98.33579,5733030,0.9225301,0.34305,0,3518.268346,1.13986393857075,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"9",1908,"Argentina",1,"ARG",0,0,0,"None",1,98.3144,6150593,0.9629886,0.7352889,0,3657.171148,5.71549490271355,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,1,0,1,"Increase",1,98.3251,5939207,0.9427557,0.5463235,0,3459.446651,-1.67189336387247,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"10",1909,"Argentina",1,"ARG",0,0,0,"None",1,98.30371,6366965,0.9833667,0.9109393,0,3698.744592,1.13676506560911,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",1,98.3144,6150593,0.9629886,0.7352889,0,3657.171148,5.71549490271355,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"11",1910,"Argentina",1,"ARG",2,0,2,"Increase",1,98.293,6588099,1.006653,1.074224,0,3821.71049,3.32453066010459,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0,0,0,"None",1,98.30371,6366965,0.9833667,0.9109393,0,3698.744592,1.13676506560911,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
"12",1911,"Argentina",1,"ARG",0,0,0,"None",1,98.16763,6805822,1.029878,1.226046,0,3746.150714,-1.97711930816612,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,2,0,2,"Increase",1,98.293,6588099,1.006653,1.074224,0,3821.71049,3.32453066010459,0,"Non-Christian","0","R",1,2.75,2,4,1.5,3,0
