LNP_Percent,State,Population,Area,Age65plus,AverageHouseholdSize,Immigrant,Professional
41.54,ACT,196037,2004.273,14.57071879,2.5,15.71985239,30.44689415
36.11,ACT,202955,460.3633,10.74671725,2.6,21.85161169,30.35350906
51.44,NSW,155806,49.446,16.10656842,2.8,31.69361453,23.53426466
41.7,NSW,172850,39.6466,14.28695401,2.8,40.43885123,24.37071353
59.72,NSW,168948,58.6052,14.33281246,2.7,41.89357769,34.03801113
66.45,NSW,145136,749.6359,16.9909602,3,21.55648452,31.53555669
30.52,NSW,174634,61.1166,12.07611347,3.2,39.44183618,16.1384403
71.04,NSW,160255,98.3974,17.03659792,2.9,31.38884724,38.76229726
61.81,NSW,161298,32417.3417,18.53463775,2.5,3.912296613,17.04922873
30.81,NSW,171249,129.3806,10.89758188,3.2,37.09701711,14.94755862
65.39,NSW,139062,64.433,18.86496671,2.6,11.93201655,23.72280722
62.58,NSW,159321,7770.764,24.78329913,2.3,3.730574794,18.9849435
36.68,NSW,155380,1026.2288,17.36967435,2.5,11.22291187,25.95888309
45.19,NSW,154067,716.3126,19.66741742,2.6,4.122923475,16.58506543
47.07,NSW,147532,41312.3947,18.74034108,2.4,5.92247116,17.6119533
70.53,NSW,163980,126818.3094,20.1481888,2.4,6.660743529,14.83916084
32.51,NSW,164235,60.3246,13.39665723,3.2,49.7055707,14.85434141
50.73,NSW,150436,6120.3693,26.68842564,2.3,2.367314112,18.1594961
27.64,NSW,149513,27.0637,11.94745607,2.4,22.08234915,38.2815627
43.69,NSW,170067,80.4886,9.909623854,3.1,34.96309532,23.04382276
59.33,NSW,144289,323.7042,14.36561346,2.9,10.68351568,23.81218781
60.18,NSW,150643,18759.7437,15.6455992,2.8,3.852176703,15.81655112
37.54,NSW,156796,9987.0834,18.23962346,2.6,3.743111142,14.4083516
41.43,NSW,176238,57.6527,13.25537058,2.5,33.8584671,31.12662691
48.89,NSW,166528,349.1732,12.08685626,2.8,12.59279517,15.23406506
61.63,NSW,145480,16049.8232,27.59004674,2.3,1.678837316,16.54838648
41.67,NSW,162017,375.9412,11.07723264,3,20.73257755,15.16560691
65.74,NSW,148613,212.4568,18.895386,2.8,10.10512596,25.78300675
47.81,NSW,141439,3616.5619,17.12823196,2.6,3.85802742,22.08039906
67.82,NSW,153449,98.4496,13.68923877,3.1,26.64375146,29.538271
66.42,NSW,154184,65448.3965,19.99688684,2.4,4.480084806,16.72668571
36.16,NSW,152948,163.9201,15.49088579,2.4,8.138173904,27.9568855
63.61,NSW,161526,41.6454,14.42925597,2.4,27.75054348,41.82247316
52.3,NSW,159107,19312.4908,21.99337553,2.4,3.697186756,17.1786455
65.1,NSW,153769,393579.6705,18.43869701,2.4,3.711069423,14.90767012
42.33,NSW,186320,56.4764,10.75783598,2.8,47.72414033,28.31289995
54.69,NSW,181347,48.8519,12.50971894,2.7,46.01039037,31.73217209
46.04,NSW,152913,2138.3118,23.56961148,2.4,5.283089554,19.91944224
51.14,NSW,143103,892.2777,21.60821227,2.5,4.97695225,21.92395159
40.06,NSW,144482,204.2522,20.99223433,2.5,3.007055891,19.68623156
34.69,NSW,200181,41.3143,7.745490331,2.1,43.22802746,37.43460621
36.28,NSW,152280,972.9507,19.86340951,2.6,3.916149763,15.75612635
61.09,NSW,147333,52.2796,15.05976258,2.5,13.82723432,34.70336139
67.75,NSW,145949,28.3334,15.25875477,2.3,23.12019904,40.7214205
41.8,NSW,170909,169.6371,10.11825006,3.4,36.50205792,16.10399247
57.07,QLD,147010,537.167,17.8171553,2.6,7.621184573,17.15311823
55.92,QLD,163886,58.4653,9.62376286,2.3,21.35816025,35.60954447
50.63,QLD,150720,94179.9956,14.10363588,2.5,6.493532091,14.4702339
53.34,QLD,156313,11515.5774,14.29631573,2.5,8.965134338,15.23274744
61.05,QLD,169600,396.0948,16.29127358,2.6,17.97130419,16.64473345
60.89,QLD,153463,1049.4682,19.24698462,2.5,7.003772867,20.12203113
59.06,QLD,140166,1154.5794,21.5886877,2.5,6.62023628,18.00178235
50.63,QLD,165538,426.5838,12.72155034,2.9,15.72736819,13.46827559
48.4,QLD,157602,55.4296,9.996700549,2.4,19.25606955,34.15132455
65.31,QLD,148866,5665.755,17.13151425,2.5,7.878721922,19.2537807
49.98,QLD,159998,1128.1617,11.72514656,2.5,8.410694385,18.51158085
58.42,QLD,141716,3489.9734,25.47842163,2.3,4.960292734,16.51889014
56.86,QLD,155394,582413.7622,17.10040285,2.5,8.290210255,13.02153276
53.95,QLD,175449,133076.0265,12.13743025,2.5,13.3704192,19.35884787
44.68,QLD,155375,142.7086,15.10217216,2.5,16.59797337,25.29688806
67.54,QLD,149266,729809.7766,19.4062948,2.4,4.718548274,12.00663039
61.64,QLD,151581,230.9998,17.78191198,2.5,13.72663954,20.42194564
