"","X","Department","Rank_Code","Gender","Salary_9_mo","Avg_Cont_Grants"
"1",1,"CCE E",2,"M",87380,16666.66667
"2",3,"EEOBS",3,"M",58356,11666.66667
"3",6,"AN S",2,"M",59797.63577,415871.3333
"4",8,"FSHNF",2,"F",64786,427231.3333
"5",10,"AGRON",3,"M",54284.72673,388192.3333
"6",11,"COM S",2,"M",94050,340321
"7",12,"BBMBA",2,"F",62744,79949
"8",13,"PHYSA",1,"M",86634,2000
"9",14,"AN S",1,"M",110790.8171,77354
"10",15,"AGRON",1,"M",73749.27199,5463.333333
"11",16,"BBMBS",2,"F",62529,143722
"12",17,"EEOBA",2,"M",72034,25107
"13",19,"CHEM",1,"M",130598.1805,205490.6667
"14",20,"CHEM",1,"M",168700,225141
"15",21,"HORT",2,"M",59353.36304,7102.666667
"16",22,"AGRON",1,"M",74257,256534
"17",23,"NREM",3,"F",64767,33525
"18",24,"MATH",2,"M",65242,500741.6667
"19",25,"NREM",1,"M",79883.9992,17673
"20",26,"STAT",1,"M",127066,25000
"21",29,"AN S",2,"M",65785.09025,44162
"22",33,"A B E",1,"M",96545.45358,927240
"23",35,"E CPE",2,"M",71549,70503.66667
"25",37,"GDCBS",3,"F",57978,70000
"26",38,"AER E",3,"M",71368,237474
"27",40,"A B E",2,"M",77363.18104,573537
"28",41,"M E",3,"F",73207,197421
"29",42,"PL P",2,"M",57849.54488,994182
"30",43,"BBMBA",2,"M",70632,1469662
"31",44,"PL P",2,"F",63978,91666.66667
"32",46,"AGRON",2,"M",60372,192831.6667
"33",48,"BBMBA",1,"M",105510.2717,236407.3333
"34",49,"GE AT",2,"M",61552,176189.3333
"35",50,"AN S",1,"M",64849.90844,600
"36",51,"MATH",1,"M",69216,942009
"37",52,"E CPE",2,"M",87075,154780.3333
"38",53,"A B E",1,"M",95678.18086,77611
"39",54,"M E",1,"M",148709,1336530.333
"40",55,"NREM",1,"M",78239.45376,46414.66667
"41",56,"AGRON",2,"M",61029.81757,135708.3333
"42",57,"A B E",3,"M",55861.36308,92275.33333
"43",58,"AGRON",1,"M",79087.09012,1169018
"44",59,"PL P",3,"M",58472,137976.3333
"45",61,"STAT",1,"M",105000,24333.33333
"46",62,"ENT",2,"F",63752.72664,311540.3333
"47",65,"E CPE",1,"M",92255,1738604
"48",66,"FSHNA",3,"F",60128,246416
"49",68,"PL P",1,"M",85954,179685.3333
"50",70,"GDCBS",1,"M",96364,1023689.667
"51",71,"CH E",1,"M",123937,2330706.333
"52",72,"A B E",3,"M",61772.72666,35085.33333
"53",73,"AGRON",2,"M",68304.27204,230294
"54",74,"M E",3,"M",79485,1034352
"55",76,"A B E",1,"M",80999.99919,237107.3333
"56",77,"GE AT",2,"M",65008,81580.33333
"57",79,"BBMBS",2,"F",63310,133799.6667
"58",83,"M S E",2,"M",77090,1663409.333
"59",84,"M E",3,"F",70277,233614.6667
"60",86,"STAT",1,"F",90495,55523.66667
"61",87,"PHYSA",1,"M",76260,1167574.667
"62",88,"GE AT",3,"F",58000,43690
"63",90,"AER E",1,"M",118063,112474
"64",92,"HORT",1,"M",115168.9079,47859.66667
"65",93,"COM S",2,"F",82254,124892.3333
"66",95,"E CPE",2,"M",84150,126000
"67",96,"GE AT",1,"M",83833,106513.3333
"68",97,"AER E",1,"M",117295,1444633.333
"69",98,"COM S",3,"M",72948,33170
"70",99,"HORT",1,"M",90359.9991,201954.6667
"71",102,"AGRON",1,"F",70326.81748,262158
"72",103,"EEOBS",1,"F",71162,39960.33333
"73",104,"EEOBA",1,"M",74273.72653,46033.66667
"74",106,"EEOBS",2,"M",64579,103336.6667
"75",107,"NREM",2,"M",66301.36297,505112.3333
"76",108,"M E",1,"M",83376,88665.33333
"77",109,"M S E",3,"M",68103,285670
"78",111,"M S E",2,"M",95850,164940.6667
"79",112,"STAT",2,"F",70442,853175.6667
"80",113,"CHEM",1,"M",74454.54471,137166.6667
"81",114,"AN S",1,"M",94769.18087,398958.6667
"82",115,"CCE E",3,"M",65000,146144.3333
"83",116,"ENT",2,"M",51369.54494,99986
"84",118,"EEOBS",2,"M",70158,514679
"85",119,"AGRON",1,"M",76777.36287,19746.66667
"86",120,"IMSE",2,"F",108827,1806712.667
"87",121,"BBMBS",3,"F",54501,207055.6667
"88",123,"E CPE",1,"M",136350,511423.6667
"89",124,"MATH",3,"M",60717,26434.66667
"90",126,"EEOBA",2,"M",54992.454,2000
"91",127,"E CPE",2,"F",39000,34502.33333
"92",128,"E CPE",2,"M",99800,982002.6667
"93",129,"AER E",2,"M",76457,4245.666667
"94",130,"EEOBA",2,"F",55513.63581,42104
"95",132,"AN S",1,"M",73552.09017,368509
"96",133,"HORT",3,"F",53478.81765,609413.6667
"97",134,"M E",1,"M",121273,284540
"98",135,"ENT",1,"M",91776.27181,419123.6667
"99",136,"E CPE",2,"F",84150,1413437.333
"100",137,"AN S",1,"M",112663.6352,839852
"101",138,"BBMBA",2,"M",63057,1544746
"102",139,"STAT",1,"M",70789.0902,580182
"103",140,"GDCBS",2,"F",70747,81540
"104",143,"HORT",1,"M",66976.36297,170372.3333
"105",144,"GDCBS",3,"F",59219,104607
"106",145,"EEOBA",1,"M",78706.63558,747745.3333
"107",146,"EEOBS",1,"M",71101.63565,2666.666667
"108",147,"STAT",3,"M",60700,24992
"109",148,"E CPE",3,"M",79290,125000
"110",149,"CCE E",2,"M",74561,1516978.333
"111",150,"MATH",3,"M",59850,33569.33333
"112",151,"GDCBS",1,"M",148874,67119.33333
"113",152,"CHEM",1,"M",121990.9079,46666.66667
"114",153,"COM S",3,"M",78500,43350
"115",154,"MATH",1,"M",77097,295846.3333
"116",155,"STAT",3,"M",69659,38459.66667
"117",157,"GE AT",3,"M",55085,10221.66667
"118",158,"CCE E",1,"M",92541,74158
"119",160,"AGRON",1,"M",134181.8168,1446668
"120",162,"COM S",1,"M",98436,36790.33333
"121",163,"AN S",1,"M",81257.72646,154110.6667
"122",164,"FSHNF",1,"M",91561,291515.6667
"123",165,"M E",2,"M",85785,3404
"124",166,"FSHNA",2,"M",64964,1020288.333
"125",167,"CH E",1,"M",98969,295652.6667
"126",170,"STAT",3,"F",60700,24992
"127",171,"BBMBA",1,"M",118476,471899.3333
"128",173,"GE AT",2,"M",56868,232885
"129",175,"E CPE",1,"M",133200,325496
"130",176,"IMSE",2,"M",78349,63000.66667
"131",177,"M S E",1,"M",102877,61283.66667
"132",180,"HORT",2,"M",68265.8175,833.3333333
"133",181,"A B E",2,"M",66500.18115,41670.66667
"134",182,"FSHNA",1,"F",104246,170687
"135",183,"PL P",1,"M",64550.4539,582895.6667
"136",184,"M S E",2,"M",91929,358737.6667
"137",186,"PHYSA",1,"M",96407,45210.33333
"138",187,"PHYSA",3,"M",59085,7553.666667
"139",189,"CHEM",1,"M",117400,709062.3333
"140",190,"E CPE",3,"M",79650,66666.66667
"141",191,"HORT",1,"M",87925.90821,20145.33333
"142",192,"CHEM",1,"M",79535,231685
"143",194,"M S E",1,"M",99003.27174,1411666.667
"144",195,"CCE E",2,"M",69678,77964.66667
"145",196,"GDCBA",2,"M",97500,599164.3333
"146",198,"GE AT",1,"M",67707,225714
"147",199,"AER E",3,"M",66058,196450.6667
"148",200,"NREM",1,"M",82254.2719,67968.33333
"149",201,"CCE E",3,"F",72962,158691.6667
"150",202,"AGRON",3,"M",51754.90857,502141.3333
"151",203,"HORT",2,"M",63834.54482,406825.6667
"152",205,"MATH",2,"M",62523,33569.33333
"153",207,"BBMBS",2,"M",62112,128333.3333
"154",208,"PHYSA",1,"M",138608.1804,265963.3333
"155",209,"A B E",2,"M",62999.99937,143272
"156",210,"PL P",1,"M",88372.63548,201205.6667
"157",211,"AN S",1,"M",110209.908,450904.3333
"158",212,"AGRON",1,"M",65175.5448,168928.3333
"159",213,"PHYSA",1,"M",72075,1294554.667
"160",214,"HORT",3,"F",50270.72677,33289.66667
"161",216,"M E",2,"M",76408,260148.3333
"162",217,"IMSE",1,"F",85535,15922.33333
"163",220,"AGRON",3,"M",46322.18135,1486425
"164",222,"CH E",1,"M",91003.09,4500
"165",223,"PHYSA",1,"M",102010,932664.6667
"166",227,"AER E",2,"M",94484,5645.666667
"167",228,"PHYSA",1,"M",106966.6353,68666.66667
"168",230,"A B E",2,"M",71381.45383,285152.3333
"169",231,"CHEM",1,"M",127773,19632.33333
"170",234,"MATH",2,"F",57248,102670
"171",236,"COM S",1,"M",99578,699376.3333
"172",237,"AN S",1,"M",76319.99924,210745.3333
"173",238,"CHEM",2,"F",75300,207599.3333
"174",239,"BBMBS",1,"M",71365.90838,436502.6667
"175",241,"GDCBS",1,"M",83701.63553,17250
"176",242,"AGRON",1,"M",81962.181,217097.3333
"177",244,"CHEM",1,"M",76009.09015,99352.33333
"178",245,"BBMBA",1,"M",155877,250800
"179",247,"COM S",2,"M",89322,107128.3333
"180",248,"AN S",2,"M",56019.27217,30000
"181",249,"A B E",1,"M",79385.72648,251260.3333
"182",250,"HORT",2,"M",73384.3629,40935.33333
"183",252,"AER E",1,"M",106250,8540.333333
"184",253,"STAT",1,"M",119841,621839.3333
"185",254,"GE AT",2,"M",75171,135200.6667
"186",255,"IMSE",2,"M",84635,121660.3333
"187",256,"E CPE",2,"M",91800,1005343
"188",258,"CCE E",2,"M",94645,274072.3333
"189",259,"FSHNA",1,"F",74461,352862.6667
"190",260,"AGRON",3,"M",50650.36313,157729
"191",261,"EEOBA",2,"M",66797,215593
"192",262,"CCE E",2,"M",76125,279069.3333
"193",263,"CHEM",2,"M",68100,134666.6667
"194",264,"BBMBA",1,"M",146302,104913.6667
"195",265,"COM S",3,"M",78500,38058.66667
"196",266,"M S E",1,"M",100538.999,1558884.667
"197",267,"BBMBS",1,"M",79738,472878.3333
"198",268,"BBMBS",1,"F",79738,396556.6667
"199",269,"FSHNA",1,"M",102166.3626,1404100.667
"200",274,"ENT",2,"M",51622.36312,51070
"201",275,"EEOBS",2,"M",58498,75000
"202",276,"STAT",1,"M",76650,837091.3333
"203",278,"E CPE",1,"M",96255,84662
"204",279,"CCE E",1,"M",89749,5285.666667
"205",281,"PHYSA",1,"M",83955,119634
"206",283,"AER E",2,"M",85882,918039
"207",284,"AN S",1,"M",94139.18088,3896.666667
"208",286,"AGRON",1,"M",71855.99928,122401.6667
"209",289,"CCE E",1,"M",128276,277299.3333
"210",292,"AN S",3,"F",62658,48666.66667
"211",293,"CHEM",1,"M",71754.54474,76223.33333
"212",294,"E CPE",1,"M",110025,152390.3333
"213",295,"CHEM",1,"M",98754.54447,1146669
"214",296,"PHYSA",2,"M",66825,106241.3333
"215",298,"E CPE",2,"M",91800,89350.66667
"216",299,"NREM",2,"M",60572.45394,1485473
"217",300,"STAT",1,"M",92600,107959.6667
"218",301,"PHYSA",2,"M",61510,510333.3333
"219",302,"AGRON",1,"M",136480,402291.3333
"220",304,"E CPE",1,"M",93609,1333.333333
"221",305,"AN S",1,"F",111459.2716,397852.6667
"222",306,"CHEM",1,"M",92290.90817,270000
"223",309,"COM S",1,"M",99642,130628
"224",310,"AGRON",1,"M",71732.45383,625294.3333
"225",311,"MATH",1,"M",120173,2666.666667
"226",312,"ENT",1,"M",80922.27192,339787
"227",314,"AGRON",1,"M",62232.54483,297245
"228",316,"FSHNF",3,"F",51737.72676,37961.66667
"229",319,"AN S",3,"M",52860.2722,316248.6667
"230",321,"A B E",2,"M",59453.99941,305772.6667
"231",322,"FSHNA",2,"F",31582,60450.33333
"232",324,"AN S",1,"M",68910.54477,477034.3333
"233",325,"AGRON",1,"M",89396.18092,606519
"234",326,"AER E",1,"M",86891,158264
"235",328,"MATH",1,"M",96682.90812,205333.3333
"236",329,"M E",2,"M",82194,670574
"237",331,"COM S",1,"M",123891,84967.33333
"238",332,"COM S",2,"F",45380,108017
"239",334,"AN S",1,"M",110066.7262,35845.33333
"240",337,"MATH",1,"M",70201,73850.33333
"241",338,"STAT",2,"M",67200,543944
"242",340,"CH E",2,"F",86381,378762.6667
"243",341,"AGRON",1,"M",60849.81757,491188
"244",342,"M E",2,"M",80408,63228.33333
"245",343,"AGRON",2,"M",64741.09026,7846.666667
"246",346,"AN S",1,"M",116070.5443,255528.6667
"247",347,"FSHNA",3,"F",57561,250160.6667
"248",350,"M S E",1,"M",85436.99915,1915790.333
"249",351,"M E",2,"M",79555,195466.3333
"250",353,"E CPE",1,"M",95850,217431.3333
"251",356,"PL P",1,"M",77865,16366.66667
"253",360,"PHYSA",3,"M",59175,68287.66667
"254",361,"A B E",1,"M",55488.27217,757877
"255",362,"FSHNA",3,"M",57348,910631.6667
"256",363,"NREM",1,"M",93660.54452,119216
"257",365,"COM S",1,"M",106318,653426.6667
"258",366,"PL P",1,"M",80529.54465,308202.3333
"259",367,"IMSE",2,"M",77333,66167.66667
"260",369,"HORT",2,"M",72113.72655,52643.33333
"261",370,"A B E",1,"M",131886,95154.33333
"262",373,"NREM",2,"M",64523,177581.6667
"263",374,"M E",1,"M",95830,75545
"264",376,"AGRON",1,"M",105636.2717,703762.6667
"265",377,"GE AT",3,"M",51965,59844.66667
"266",378,"AN S",1,"M",71332.36292,802
"267",379,"NREM",2,"M",61386.54484,113537.6667
"268",380,"STAT",1,"M",107245,18627
"269",382,"AGRON",1,"M",79769.45375,50284.66667
"270",384,"FSHNA",1,"F",89985,565593.3333
"271",385,"FSHNA",1,"M",72628,1213299.667
"272",386,"M S E",3,"M",69623,209899
"273",387,"CH E",2,"M",82573,75789.33333
"274",388,"IMSE",3,"M",67636,21829
"275",389,"EEOBS",2,"M",61114,151786.6667
"276",390,"M E",1,"M",84765,10000
"277",391,"STAT",2,"M",73539,57661
"278",392,"BBMBA",1,"M",73757,880510
"279",394,"AN S",1,"M",38924,22425.66667
"280",395,"HORT",1,"F",71923.90837,153198.3333
"281",397,"STAT",1,"F",94875,2069787
"282",398,"PL P",1,"M",59288.72668,178116.6667
"283",399,"FSHNF",2,"F",63229.09028,746680.6667
"284",400,"PHYSA",2,"M",67470,491666.6667
"285",401,"IMSE",3,"M",68321,100758.6667
"286",402,"M E",2,"M",95350,43250.66667
"287",403,"M E",3,"M",71853,132000
"288",404,"CCE E",2,"M",77522,122136.6667
"289",405,"STAT",2,"M",69700,1165981.333
"290",406,"AGRON",1,"M",73394.18108,438164.6667
"291",407,"M E",1,"M",97847,27980.33333
"292",409,"NREM",3,"M",60875.99939,52067.33333
"293",410,"M S E",1,"M",84129,1413933.333
"294",412,"IMSE",2,"M",78888,209801
"295",415,"AGRON",1,"M",87720,445559.3333
"296",416,"CHEM",1,"M",66200,295941.6667
"297",418,"CHEM",3,"F",64614,41333.33333
"298",420,"FSHNA",1,"M",95315,1866665.667
"299",422,"CH E",1,"M",114800,996066.3333
"300",423,"CCE E",1,"M",121405,86784
"301",424,"GDCBA",3,"F",55200,93333.33333
"302",425,"AN S",2,"F",56354.72671,576520
"303",428,"FSHNF",1,"M",64876.90844,61603
"304",429,"M E",3,"F",70929,69811
"305",430,"PHYSA",1,"M",84170,204000
"306",431,"EEOBS",2,"M",59564,204068
"307",432,"AER E",1,"M",89751,40863.33333
"308",433,"FSHNF",2,"F",57855,27083.33333
"309",434,"AN S",3,"M",54319.90855,263708.3333
"310",435,"CH E",1,"M",119488,1672120.333
"311",436,"FSHNF",1,"F",72183,666037.3333
"312",437,"ENT",1,"M",67740.54478,375740.6667
"313",438,"A B E",3,"M",58702.09032,1690417.667
"314",439,"AN S",1,"M",92065.08999,121408.3333
"315",440,"BBMBS",1,"M",85154.72642,1666.666667
"316",441,"CH E",2,"M",90492,17500
"317",442,"PHYSA",2,"F",61230,527466.6667
"318",443,"AER E",1,"M",100744,137001.6667
"319",444,"AN S",1,"M",117672.5443,292356.6667
"320",445,"AN S",1,"M",82799.18099,1666.666667
"321",446,"E CPE",1,"F",102375,226357.3333
"322",447,"ENT",1,"M",101894,245879.6667
"323",450,"NREM",2,"F",51442.36312,50941.66667
"324",451,"M S E",2,"M",91201,91513
"325",452,"AN S",1,"M",65604.27207,241014
"326",454,"IMSE",2,"F",84148,93334
"327",455,"MATH",1,"M",80995,2666.666667
"328",456,"GDCBS",2,"M",66664,100833.3333
"329",457,"E CPE",2,"M",89550,239886
"330",458,"AGRON",2,"M",61905.27211,23333.33333
"331",460,"IMSE",1,"M",143772,542787.6667
"332",461,"AER E",2,"M",98412,183633.3333
"333",462,"AGRON",2,"M",70216.36293,322221
"334",463,"AN S",1,"M",126953.9987,79887.33333
"335",464,"CCE E",1,"M",100999,2307
"336",465,"FSHNA",3,"M",57172,113792.3333
"337",466,"PHYSA",2,"M",68705,11666.66667
"338",467,"AER E",1,"M",118804,1711663.333
"339",468,"CHEM",2,"M",96100,180394.6667
"340",469,"AGRON",1,"M",115567.3625,1355222
"341",470,"CH E",1,"M",112451,158468
"342",472,"NREM",1,"M",86815.6355,634509.6667
