Department,Rank_Code,Gender,Salary_9_mo,Avg_Cont_Grants
CCE E,2,M,87380,16666.66667
EEOBS,1,M,72276,0
EEOBS,3,M,58356,11666.66667
IMSE,2,M,64294,0
COM S,3,M,77168,0
AN S,2,M,59797.63577,415871.3333
E CPE,2,M,89775,0
FSHNF,2,F,64786,427231.3333
MATH,2,M,64321,0
AGRON,3,M,54284.72673,388192.3333
COM S,2,M,94050,340321
BBMBA,2,F,62744,79949
PHYSA,1,M,86634,2000
AN S,1,M,110790.8171,77354
AGRON,1,M,73749.27199,5463.333333
BBMBS,2,F,62529,143722
EEOBA,2,M,72034,25107
A B E,2,M,75000,0
CHEM,1,M,130598.1805,205490.6667
CHEM,1,M,168700,225141
HORT,2,M,59353.36304,7102.666667
AGRON,1,M,74257,256534
NREM,3,F,64767,33525
MATH,2,M,65242,500741.6667
NREM,1,M,79883.9992,17673
STAT,1,M,127066,25000
AN S,2,F,58769.18123,0
MATH,3,F,52071,0
AN S,2,M,65785.09025,44162
CHEM,3,M,56000,0
CCE E,2,F,82592,0
STAT,1,M,69340.9084,0
A B E,1,M,96545.45358,927240
AGRON,1,M,63920.45391,0
E CPE,2,M,71549,70503.66667
CHEM,1,M,157671.8166,26664781.67
GDCBS,3,F,57978,70000
AER E,3,M,71368,237474
COM S,3,M,77000,0
A B E,2,M,77363.18104,573537
M E,3,F,73207,197421
PL P,2,M,57849.54488,994182
BBMBA,2,M,70632,1469662
PL P,2,F,63978,91666.66667
FSHNF,3,M,54818.18127,0
AGRON,2,M,60372,192831.6667
ENT,3,M,53175.2722,0
BBMBA,1,M,105510.2717,236407.3333
GE AT,2,M,61552,176189.3333
AN S,1,M,64849.90844,600
MATH,1,M,69216,942009
E CPE,2,M,87075,154780.3333
A B E,1,M,95678.18086,77611
M E,1,M,148709,1336530.333
NREM,1,M,78239.45376,46414.66667
AGRON,2,M,61029.81757,135708.3333
A B E,3,M,55861.36308,92275.33333
AGRON,1,M,79087.09012,1169018
PL P,3,M,58472,137976.3333
CCE E,3,M,67769,0
STAT,1,M,105000,24333.33333
ENT,2,F,63752.72664,311540.3333
PHYSA,1,M,98340,0
MATH,3,M,55000,0
E CPE,1,M,92255,1738604
FSHNA,3,F,60128,246416
AN S,1,M,66251.45388,0
PL P,1,M,85954,179685.3333
AN S,3,M,51257,0
GDCBS,1,M,96364,1023689.667
CH E,1,M,123937,2330706.333
A B E,3,M,61772.72666,35085.33333
AGRON,2,M,68304.27204,230294
M E,3,M,79485,1034352
M E,2,M,74482,0
A B E,1,M,80999.99919,237107.3333
GE AT,2,M,65008,81580.33333
MATH,3,M,51105,0
BBMBS,2,F,63310,133799.6667
COM S,3,M,77000,0
AGRON,1,M,84096,0
PHYSA,1,M,83246,0
M S E,2,M,77090,1663409.333
M E,3,F,70277,233614.6667
STAT,3,F,64000,0
STAT,1,F,90495,55523.66667
PHYSA,1,M,76260,1167574.667
GE AT,3,F,58000,43690
CCE E,3,M,62129,0
AER E,1,M,118063,112474
E CPE,2,M,89775,0
HORT,1,M,115168.9079,47859.66667
COM S,2,F,82254,124892.3333
IMSE,1,M,78467,0
E CPE,2,M,84150,126000
GE AT,1,M,83833,106513.3333
AER E,1,M,117295,1444633.333
COM S,3,M,72948,33170
HORT,1,M,90359.9991,201954.6667
E CPE,3,M,78750,0
M S E,1,M,89070,0
AGRON,1,F,70326.81748,262158
EEOBS,1,F,71162,39960.33333
EEOBA,1,M,74273.72653,46033.66667
PHYSA,3,M,59225,0
EEOBS,2,M,64579,103336.6667
NREM,2,M,66301.36297,505112.3333
M E,1,M,83376,88665.33333
M S E,3,M,68103,285670
M S E,2,F,94042,0
M S E,2,M,95850,164940.6667
STAT,2,F,70442,853175.6667
CHEM,1,M,74454.54471,137166.6667
AN S,1,M,94769.18087,398958.6667
CCE E,3,M,65000,146144.3333
ENT,2,M,51369.54494,99986
PHYSA,1,M,91770,0
EEOBS,2,M,70158,514679
AGRON,1,M,76777.36287,19746.66667
IMSE,2,F,108827,1806712.667
BBMBS,3,F,54501,207055.6667
MATH,1,M,80710,0
E CPE,1,M,136350,511423.6667
MATH,3,M,60717,26434.66667
E CPE,3,M,76500,0
EEOBA,2,M,54992.454,2000
E CPE,2,F,39000,34502.33333
E CPE,2,M,99800,982002.6667
AER E,2,M,76457,4245.666667
EEOBA,2,F,55513.63581,42104
AGRON,2,M,64333.63572,0
AN S,1,M,73552.09017,368509
HORT,3,F,53478.81765,609413.6667
M E,1,M,121273,284540
ENT,1,M,91776.27181,419123.6667
E CPE,2,F,84150,1413437.333
AN S,1,M,112663.6352,839852
BBMBA,2,M,63057,1544746
STAT,1,M,70789.0902,580182
GDCBS,2,F,70747,81540
E CPE,3,M,76950,0
GDCBS,1,M,77793.54468,0
HORT,1,M,66976.36297,170372.3333
GDCBS,3,F,59219,104607
EEOBA,1,M,78706.63558,747745.3333
EEOBS,1,M,71101.63565,2666.666667
STAT,3,M,60700,24992
E CPE,3,M,79290,125000
CCE E,2,M,74561,1516978.333
MATH,3,M,59850,33569.33333
GDCBS,1,M,148874,67119.33333
CHEM,1,M,121990.9079,46666.66667
COM S,3,M,78500,43350
MATH,1,M,77097,295846.3333
STAT,3,M,69659,38459.66667
NREM,2,F,62000,0
GE AT,3,M,55085,10221.66667
CCE E,1,M,92541,74158
EEOBS,2,F,59897,0
AGRON,1,M,134181.8168,1446668
HORT,3,M,51566.72676,0
COM S,1,M,98436,36790.33333
AN S,1,M,81257.72646,154110.6667
FSHNF,1,M,91561,291515.6667
M E,2,M,85785,3404
FSHNA,2,M,64964,1020288.333
CH E,1,M,98969,295652.6667
IMSE,3,M,62500,0
A B E,2,M,58000,0
STAT,3,F,60700,24992
BBMBA,1,M,118476,471899.3333
COM S,2,M,80517,0
GE AT,2,M,56868,232885
MATH,1,M,81783,0
E CPE,1,M,133200,325496
IMSE,2,M,78349,63000.66667
M S E,1,M,102877,61283.66667
AGRON,3,M,55469.45399,0
BBMBS,2,M,67595.7266,0
HORT,2,M,68265.8175,833.3333333
A B E,2,M,66500.18115,41670.66667
FSHNA,1,F,104246,170687
PL P,1,M,64550.4539,582895.6667
M S E,2,M,91929,358737.6667
AGRON,3,F,52074.81766,0
PHYSA,1,M,96407,45210.33333
PHYSA,3,M,59085,7553.666667
CH E,3,M,73500,0
CHEM,1,M,117400,709062.3333
E CPE,3,M,79650,66666.66667
HORT,1,M,87925.90821,20145.33333
CHEM,1,M,79535,231685
MATH,2,M,56417,0
M S E,1,M,99003.27174,1411666.667
CCE E,2,M,69678,77964.66667
GDCBA,2,M,97500,599164.3333
E CPE,3,M,76500,0
GE AT,1,M,67707,225714
AER E,3,M,66058,196450.6667
NREM,1,M,82254.2719,67968.33333
CCE E,3,F,72962,158691.6667
AGRON,3,M,51754.90857,502141.3333
HORT,2,M,63834.54482,406825.6667
FSHNF,3,F,55922,0
MATH,2,M,62523,33569.33333
GE AT,3,M,60000,0
BBMBS,2,M,62112,128333.3333
PHYSA,1,M,138608.1804,265963.3333
A B E,2,M,62999.99937,143272
PL P,1,M,88372.63548,201205.6667
AN S,1,M,110209.908,450904.3333
AGRON,1,M,65175.5448,168928.3333
PHYSA,1,M,72075,1294554.667
HORT,3,F,50270.72677,33289.66667
CH E,1,M,86639,0
M E,2,M,76408,260148.3333
IMSE,1,F,85535,15922.33333
A B E,3,M,55636.36308,0
GDCBS,1,M,34908,0
AGRON,3,M,46322.18135,1486425
MATH,1,M,76808,0
CH E,1,M,91003.09,4500
PHYSA,1,M,102010,932664.6667
PL P,1,M,79041.27194,0
AER E,2,M,75647,0
CH E,2,M,84500,0
AER E,2,M,94484,5645.666667
PHYSA,1,M,106966.6353,68666.66667
PHYSA,1,M,67870,0
A B E,2,M,71381.45383,285152.3333
CHEM,1,M,127773,19632.33333
AN S,1,M,71853.54474,0
STAT,3,F,59700,0
MATH,2,F,57248,102670
ENT,2,M,61740.81756,0
COM S,1,M,99578,699376.3333
AN S,1,M,76319.99924,210745.3333
CHEM,2,F,75300,207599.3333
BBMBS,1,M,71365.90838,436502.6667
AGRON,3,M,62000,0
GDCBS,1,M,83701.63553,17250
AGRON,1,M,81962.181,217097.3333
MATH,1,M,95871,0
CHEM,1,M,76009.09015,99352.33333
BBMBA,1,M,155877,250800
STAT,3,F,59350,0
COM S,2,M,89322,107128.3333
AN S,2,M,56019.27217,30000
A B E,1,M,79385.72648,251260.3333
HORT,2,M,73384.3629,40935.33333
GDCBS,2,M,73439,0
AER E,1,M,106250,8540.333333
STAT,1,M,119841,621839.3333
GE AT,2,M,75171,135200.6667
IMSE,2,M,84635,121660.3333
E CPE,2,M,91800,1005343
AER E,3,M,64312,0
CCE E,2,M,94645,274072.3333
