Time,Time Code,Country Name,Country Code,Ease of doing business rank (1=most business-friendly regulations) [IC.BUS.EASE.XQ],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],GDP per capita (current US$) [NY.GDP.PCAP.CD]
2019,YR2019,Albania,ALB,82,18.1462480101718,5395.65953185375
2019,YR2019,Andorra,AND,..,..,40897.3308728669
2019,YR2019,Armenia,ARM,47,22.2851709900772,4604.64632355695
2019,YR2019,Austria,AUT,27,25.5829778404801,50114.4011099728
2019,YR2019,Azerbaijan,AZE,28,14.2188526451777,4805.75371765917
2019,YR2019,Belarus,BLR,49,13.3015061393462,6837.71782606351
2019,YR2019,Belgium,BEL,46,22.6126906707306,46591.4916067396
2019,YR2019,Bosnia and Herzegovina,BIH,90,20.1013533136509,6119.76234462222
2019,YR2019,Bulgaria,BGR,61,20.2292786810694,9879.26853313318
2019,YR2019,Channel Islands,CHI,..,..,..
2019,YR2019,Croatia,HRV,51,21.7118461272999,15311.766903695
2019,YR2019,Cyprus,CYP,54,23.4459532077896,28288.4615757198
2019,YR2019,Czech Republic,CZE,41,14.6916731084211,23660.1488068317
2019,YR2019,Denmark,DNK,4,34.2847561272517,59775.7350964515
2019,YR2019,Estonia,EST,18,21.3177851522539,23397.1200148694
2019,YR2019,Faroe Islands,FRO,..,..,64225.2649049837
2019,YR2019,Finland,FIN,20,20.649570798469,48678.3141318652
2019,YR2019,France,FRA,33,24.5524863238344,40578.6442850534
2019,YR2019,Georgia,GEO,7,23.1173329727924,4697.98365238984
2019,YR2019,Germany,DEU,22,11.4049836613068,46794.8992915603
2019,YR2019,Gibraltar,GIB,..,..,..
2019,YR2019,Greece,GRC,79,26.1936671014433,19133.7577636254
2019,YR2019,Greenland,GRL,..,..,53041.303310196
2019,YR2019,Hungary,HUN,52,22.4767470899279,16735.6597794761
2019,YR2019,Iceland,ISL,26,21.7763783168196,68941.4622272394
2019,YR2019,Ireland,IRL,24,17.7294655569315,80886.6157387104
2019,YR2019,Isle of Man,IMN,..,..,86481.5525905339
2019,YR2019,Italy,ITA,58,24.5916996766847,33641.6337513622
2019,YR2019,Kazakhstan,KAZ,25,11.78694274063,9812.5958082732
2019,YR2019,Kosovo,XKX,57,..,4416.10835754636
2019,YR2019,Kyrgyz Republic,KGZ,80,16.8640679486618,1374.03210467421
2019,YR2019,Latvia,LVA,19,21.2707603988284,17926.841589919
2019,YR2019,Liechtenstein,LIE,..,..,175813.875592058
2019,YR2019,Lithuania,LTU,11,19.8311763825815,19575.768481407
2019,YR2019,Luxembourg,LUX,72,26.5815049673095,113218.713349678
2019,YR2019,Moldova,MDA,48,17.31036033736,4491.6888269382
2019,YR2019,Monaco,MCO,..,..,190512.737442436
2019,YR2019,Montenegro,MNE,50,..,8910.65083414613
2019,YR2019,Netherlands,NLD,42,24.0212531747545,52476.2732533327
2019,YR2019,North Macedonia,MKD,17,17.0832810795126,6070.38805358275
2019,YR2019,Norway,NOR,9,23.1324022947534,75826.0818834173
2019,YR2019,Poland,POL,40,17.3008971310383,15732.2031311754
2019,YR2019,Portugal,PRT,39,22.2032934682287,23330.817288932
2019,YR2019,Romania,ROU,55,14.6034101712867,12899.3461112897
2019,YR2019,Russian Federation,RUS,29,10.975123926599,11497.6492498593
2019,YR2019,San Marino,SMR,92,16.9127343335333,47731.2085399347
2019,YR2019,Serbia,SRB,44,24.0497349284773,7417.20364852201
2019,YR2019,Slovak Republic,SVK,45,18.695157611643,19303.5456581383
2019,YR2019,Slovenia,SVN,37,18.2771244447323,25942.9547741436
2019,YR2019,Spain,ESP,31,13.7640984429935,29555.3156985079
2019,YR2019,Sweden,SWE,10,27.3009310207364,51939.4297445291
2019,YR2019,Switzerland,CHE,36,9.77517471836891,85334.5194620909
2019,YR2019,Tajikistan,TJK,106,..,890.544402355733
2019,YR2019,Turkey,TUR,34,16.5264011121809,9121.51516673708
2019,YR2019,Turkmenistan,TKM,..,..,7612.03518009452
2019,YR2019,Ukraine,UKR,64,19.1961400966208,3662.56308679667
2019,YR2019,United Kingdom,GBR,8,24.9067633640656,43070.4983595888
2019,YR2019,Uzbekistan,UZB,69,12.6953747017566,1784.00981608195
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/16/2021,,,,,,
